Gia,Dia chi,Dien tich,Gia/m2,Huong dat,Loai hinh dat,Chieu ngang,Chieu dai
799 triệu - 120 m2,"Lệ Sơn Nam, Xã Hòa Tiến, Huyện Hòa Vang, Đà NẵngXem bản đồ",120 m²,"6,66 triệu/m²",,Đất thổ cư,,
,,,,,,,
870 triệu - 131 m2,"Dt602, Xã Hòa Sơn, Huyện Hòa Vang, Đà NẵngXem bản đồ",131 m²,"6,64 triệu/m²",Đông Nam,Đất thổ cư,5 m,25 m
"2,15 tỷ - 87.0.998 m2","Mẹ Suốt , Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",87.0998 m²,"24,68 triệu/m²",,Đất thổ cư,5 m,17.0599 m
"1,25 tỷ - 65 m2","Trần Đình Tri, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",65 m²,"19,23 triệu/m²",Đông Bắc,Đất thổ cư,3.5 m,18 m
950 triệu - 100 m2,"Hai Bà Trưng, Xã Hòa Tiến, Huyện Hòa Vang, Đà NẵngXem bản đồ",100 m²,"9,5 triệu/m²",,Đất thổ cư,5 m,20 m
"1,6 tỷ - 87 m2","Sát Chợ An Ngãi Đông, Xã Hòa Sơn, Huyện Hòa Vang, Đà NẵngXem bản đồ",87 m²,"18,39 triệu/m²",Đông Nam,Đất thổ cư,5 m,17.3999 m
,,,,,,,
"1,63 tỷ - 200 m2","Đương Thôn 605, Xã Hòa Tiến, Huyện Hòa Vang, Đà NẵngXem bản đồ",200 m²,"8,15 triệu/m²",Đông Bắc,Đất thổ cư,13.5 m,16 m
"1,53 tỷ - 65 m2","Nguyễn Xuân Hữu, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng, Thành phố Đà Nẵng, Việt Nam, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà NẵngXem bản đồ",65 m²,"23,54 triệu/m²",,Đất thổ cư,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.7 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",136 m²,,Hướng: Đông,Đất nền dự án,Mặt tiền: 7.5m,
4.75 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",155 m²,,Hướng: Đông,Đất nền dự án,Mặt tiền: 9m,
2.75 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",90 m²,,Hướng: Bắc,Đất nền dự án,Mặt tiền: 6m,
3.4 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",112 m²,,Hướng: Bắc,Đất nền dự án,Mặt tiền: 7.5m,
6.9 Tỷ,"Phường Hòa Xuân, Quận Cẩm Lệ",145 m²,,,Đất nền dự án,,
26 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",750 m²,,Hướng: Đông bắc,Đất nền dự án,Mặt tiền: 30m,
13 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",375 m²,,Hướng: Đông bắc,Đất nền dự án,Mặt tiền: 15m,
7.59 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",345 m²,,,Đất nền dự án,Mặt tiền: 15m,
12 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",361 m²,,Hướng: Đông bắc,Đất nền dự án,Mặt tiền: 15m,
13.2 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",600 m²,,,Đất nền dự án,Mặt tiền: 16m,
6.6 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",300 m²,,,Đất nền dự án,,
499 Triệu,", Huyện Hòa Vang",170 m²,,,Đất nền dự án,Mặt tiền: 6m,
1.6 Tỷ,"Xã Hòa Châu, Huyện Hòa Vang",120 m²,,,Đất nền dự án,Mặt tiền: 8.8m,
Thỏa thuận,"Phường Hòa Minh, Quận Liên Chiểu",108 m²,,,Đất nền dự án,,
Thỏa thuận,"Phường Hòa Minh, Quận Liên Chiểu",109 m²,,,Đất nền dự án,,
700 Triệu,"Phường Hòa Minh, Quận Liên Chiểu",70 m²,,,Đất nền dự án,,
1.98 Tỷ,"Phường Hòa An, Quận Cẩm Lệ",88 m²,,Hướng: Tây bắc,Đất nền dự án,Mặt tiền: 7m,
13 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",375 m²,,,Đất nền dự án,Mặt tiền: 15m,
3.39 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",102 m²,,,Đất nền dự án,,
7.2 Tỷ,"Phường Thanh Khê Tây, Quận Thanh Khê",112.5 m²,,,Đất nền dự án,,
1.9 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",74 m²,,Hướng: Đông bắc,Đất nền dự án,Mặt tiền: 4m,
3.3 Tỷ,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",100 m²,,,Đất nền dự án,,
140.6 Triệu,"Phường Hòa Hải, Quận Ngũ Hành Sơn",74 m²,,Hướng: Đông bắc,Đất nền dự án,Mặt tiền: 4m,
2.19 Tỷ,"Phường Mân Thái, Quận Sơn Trà",90 m²,,Hướng: Tây bắc,Đất nền dự án,Mặt tiền: 4m,
3.6 Tỷ,"Phường Hòa Minh, Quận Liên Chiểu",108 m²,,,Đất nền dự án,,
4400 Tỷ,"Phường Hòa Xuân, Quận Cẩm Lệ",94 m²,,Hướng: Tây Nam,Đất nền dự án,Mặt tiền: 5m,
4.1 Tỷ,"Phường Thọ Quang, Quận Sơn Trà",95 m²,,Hướng: Tây Nam,Đất nền dự án,Mặt tiền: 5m,
3.05 Tỷ,"Phường Hòa Quý, Quận Ngũ Hành Sơn",110 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 5m,
4.85 Tỷ,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",100 m²,,,Đất nền dự án,,
3 Tỷ,"Phường Hòa Quý, Quận Ngũ Hành Sơn",100 m²,,,Đất nền dự án,Mặt tiền: 5m,
5.04 Tỷ,"Phường Hòa Xuân, Quận Cẩm Lệ",120 m²,,,Đất nền dự án,,
2.35 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",100 m²,,Hướng: Tây bắc,Đất nền dự án,Mặt tiền: 5m,
3.6 Tỷ,"Phường Hòa Minh, Quận Liên Chiểu",100 m²,,,Đất nền dự án,Mặt tiền: 5m,
Thỏa thuận,"Phường Hòa Minh, Quận Liên Chiểu",100 m²,,,Đất nền dự án,,
3.6 Tỷ,"Phường Hòa Minh, Quận Liên Chiểu",95 m²,,,Đất nền dự án,,
3.6 Tỷ,"Phường Hòa Minh, Quận Liên Chiểu",78 m²,,Hướng: Tây Nam,Đất nền dự án,Mặt tiền: 4m,
2.9 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",102 m²,,,Đất nền dự án,,
27 Tỷ,"Phường Khuê Trung, Quận Cẩm Lệ",150 m²,,Hướng: Đông,Đất nền dự án,,
4 Tỷ,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",100 m²,,,Đất nền dự án,,
16 Tỷ,"Phường Mỹ An, Quận Ngũ Hành Sơn",140 m²,,Hướng: Tây,Đất nền dự án,Mặt tiền: 5m,
8.4 Tỷ,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",140 m²,,Hướng: Đông,Đất nền dự án,Mặt tiền: 7m,
2.45 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",171 m²,,Hướng: Đông bắc,Đất nền dự án,Mặt tiền: 7m,
5.3 Tỷ,"Phường Hòa Quý, Quận Ngũ Hành Sơn",300 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 15m,
33 Tỷ,"Phường Mỹ An, Quận Ngũ Hành Sơn",440 m²,,Hướng: Đông,Đất nền dự án,Mặt tiền: 17.5m,
8.5 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",100 m²,,Hướng: Đông,Đất nền dự án,Mặt tiền: 5m,
1.34 Tỷ,"Phường Hòa Quý, Quận Ngũ Hành Sơn",216 m²,,Hướng: Nam,Đất nền dự án,Mặt tiền: 9m,
2.55 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",96 m²,,,Đất nền dự án,Mặt tiền: 6m,
4.05 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",180 m²,,,Đất nền dự án,Mặt tiền: 7.5m,
2.45 Tỷ,"Phường Hòa Quý, Quận Ngũ Hành Sơn",96 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 6m,
2.4 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",96 m²,,,Đất nền dự án,Mặt tiền: 6m,
2.7 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",144 m²,,,Đất nền dự án,Mặt tiền: 6m,
2.45 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",96 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 6m,
2.4 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",96 m²,,,Đất nền dự án,Mặt tiền: 6m,
10.8 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",240 m²,,,Đất nền dự án,Mặt tiền: 12m,
2.45 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",96 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 6m,
2.45 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",98 m²,,,Đất nền dự án,Mặt tiền: 6m,
2.45 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",96 m²,,,Đất nền dự án,Mặt tiền: 6m,
15.5 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",527 m²,,,Đất nền dự án,,
2.35 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",96 m²,,,Đất nền dự án,Mặt tiền: 6m,
2.43 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",98 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 6m,
2.55 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",114 m²,,,Đất nền dự án,Mặt tiền: 6m,
4.1 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",180 m²,,Hướng: Nam,Đất nền dự án,Mặt tiền: 7.5m,
4.95 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",216 m²,,Hướng: Nam,Đất nền dự án,Mặt tiền: 9m,
4.95 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",216 m²,,Hướng: Nam,Đất nền dự án,Mặt tiền: 9m,
2.43 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",98 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 6m,
6.2 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",154 m²,,,Đất nền dự án,Mặt tiền: 9m,
6.7 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",154 m²,,,Đất nền dự án,,
4.05 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",180 m²,,Hướng: Nam,Đất nền dự án,,
2.7 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",108 m²,,,Đất nền dự án,Mặt tiền: 6m,
3.2 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",102 m²,,,Đất nền dự án,Mặt tiền: 6m,
3.25 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",108 m²,,,Đất nền dự án,Mặt tiền: 6m,
4.55 Tỷ,"Phường Nại Hiên Đông, Quận Sơn Trà",89 m²,,,Đất nền dự án,Mặt tiền: 5m,
1100 Tỷ,"Xã Hòa Phong, Huyện Hòa Vang",241 m²,,,Đất nền dự án,,
235 Triệu,"Phường Hòa Xuân, Quận Cẩm Lệ",100 m²,,Hướng: All,Đất nền dự án,Mặt tiền: 5m,
2.35 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",96 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 6m,
2.55 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",102 m²,,Hướng: Tây Nam,Đất nền dự án,Mặt tiền: 6m,
110 Tỷ,"Xã Hòa Phú, Huyện Hòa Vang",224 m²,,,Đất nền dự án,,
2.65 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",102 m²,,Hướng: Tây bắc,Đất nền dự án,Mặt tiền: 6m,
2.9 Tỷ,"Phường Hòa Khánh Nam, Quận Liên Chiểu",136 m²,,Hướng: Đông Bắc,Đất nền dự án,,
2.65 Tỷ,", Quận Liên Chiểu",90 m²,,Hướng: Tây Nam,Đất nền dự án,,
2.28 Tỷ,", Quận Cẩm Lệ",90 m²,,Hướng: Tây Bắc,Đất nền dự án,,
2.7 Tỷ,"Phường Hòa Minh, Quận Liên Chiểu",90 m²,,,Đất nền dự án,,
4.15 Tỷ,", Quận Liên Chiểu",97 m²,,Hướng: Tây Bắc,Đất nền dự án,,
3.8 Tỷ,", Quận Liên Chiểu",121 m²,,Hướng: Nam,Đất nền dự án,,
3.8 Tỷ,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",147 m²,,Hướng: Tây Nam,Đất nền dự án,,
150 Tỷ,"Phường An Hải Bắc, Quận Sơn Trà",1071 m²,,,Đất nền dự án,,
2.7 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",100 m²,,,Đất nền dự án,,
3.3 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",109 m²,,Hướng: Tây bắc,Đất nền dự án,Mặt tiền: 6m,
7.5 Tỷ,"Phường Hòa An, Quận Cẩm Lệ",190 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 10m,
2.45 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",102 m²,,,Đất nền dự án,Mặt tiền: 6m,
3.25 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",144 m²,,Hướng: Đông,Đất nền dự án,Mặt tiền: 6m,
2.75 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",108 m²,,Hướng: Tây bắc,Đất nền dự án,,
3.2 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",102 m²,,Hướng: Nam,Đất nền dự án,Mặt tiền: 6m,
2.25 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",100 m²,,,Đất nền dự án,Mặt tiền: 5m,
4.5 Tỷ,", Quận Liên Chiểu",94 m²,,Hướng: Đông Bắc,Đất nền dự án,,
21 Tỷ,", Quận Thanh Khê",250 m²,,,Đất nền dự án,,
5.6 Tỷ,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",121 m²,,Hướng: Tây Bắc,Đất nền dự án,,
4.05 Tỷ,"Phường Thọ Quang, Quận Sơn Trà",100 m²,,Hướng: Tây Bắc,Đất nền dự án,,
2.75 Tỷ,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",100 m²,,Hướng: Tây Bắc,Đất nền dự án,,
2.7 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",81 m²,,,Đất nền dự án,,
3.5 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",108 m²,,Hướng: Tây,Đất nền dự án,Mặt tiền: 6m,
4.6 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",184.5 m²,,Hướng: Nam,Đất nền dự án,Mặt tiền: 8m,
2.09 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",100 m²,,,Đất nền dự án,Mặt tiền: 5m,
1.9 Tỷ,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",100 m²,,Hướng: Đông bắc,Đất nền dự án,Mặt tiền: 5m,
Thỏa thuận,"Phường Hòa Hải, Quận Ngũ Hành Sơn",200 m²,,,Đất nền dự án,,
3.7 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",108 m²,,Hướng: Đông,Đất nền dự án,Mặt tiền: 6m,
2.65 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",108 m²,,,Đất nền dự án,Mặt tiền: 6m,
2.7 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",96 m²,,,Đất nền dự án,Mặt tiền: 6m,
6.8 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",154 m²,,Hướng: Nam,Đất nền dự án,Mặt tiền: 9m,
2.7 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",90 m²,,,Đất nền dự án,Mặt tiền: 6m,
747 Triệu,"Phường Hòa Hải, Quận Ngũ Hành Sơn",180 m²,,,Đất nền dự án,Mặt tiền: 7.5m,
229.5 Triệu,"Phường Hòa Hải, Quận Ngũ Hành Sơn",102 m²,,,Đất nền dự án,Mặt tiền: 6m,
4.3 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",180 m²,,,Đất nền dự án,Mặt tiền: 7.5m,
3.1 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",144 m²,,Hướng: Đông,Đất nền dự án,Mặt tiền: 6m,
2.5 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",102 m²,,,Đất nền dự án,Mặt tiền: 6m,
3.5 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",142 m²,,,Đất nền dự án,Mặt tiền: 6m,
4.15 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",180 m²,,,Đất nền dự án,Mặt tiền: 7.5m,
229.5 Triệu,"Phường Hòa Quý, Quận Ngũ Hành Sơn",102 m²,,,Đất nền dự án,Mặt tiền: 6m,
2.35 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",90 m²,,,Đất nền dự án,Mặt tiền: 6m,
258.24 Triệu,"Phường Hòa Hải, Quận Ngũ Hành Sơn",96 m²,,Hướng: Bắc,Đất nền dự án,Mặt tiền: 6m,
3.3 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",108 m²,,,Đất nền dự án,Mặt tiền: 6m,
3.7 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",108 m²,,Hướng: Đông,Đất nền dự án,Mặt tiền: 6m,
258.24 Triệu,"Phường Hòa Hải, Quận Ngũ Hành Sơn",96 m²,,Hướng: Bắc,Đất nền dự án,Mặt tiền: 6m,
3.1 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",144 m²,,Hướng: Đông,Đất nền dự án,Mặt tiền: 6m,
2.5 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",102 m²,,,Đất nền dự án,Mặt tiền: 6m,
747 Triệu,"Phường Hòa Hải, Quận Ngũ Hành Sơn",180 m²,,,Đất nền dự án,Mặt tiền: 7.5m,
229.5 Triệu,"Phường Hòa Hải, Quận Ngũ Hành Sơn",102 m²,,,Đất nền dự án,Mặt tiền: 6m,
2.07 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",300 m²,,Hướng: Đông bắc,Đất nền dự án,Mặt tiền: 15m,
2.5 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",102 m²,,,Đất nền dự án,Mặt tiền: 6m,
56.3 Tỷ,"Phường Hòa An, Quận Cẩm Lệ",1373 m²,,,Đất nền dự án,Mặt tiền: 55m,
4.5 Tỷ,"Phường An Hải Đông, Quận Sơn Trà",74 m²,,,Đất nền dự án,,
5 Tỷ,"Phường Hòa An, Quận Cẩm Lệ",130 m²,,Hướng: Tây Nam,Đất nền dự án,Mặt tiền: 5m,
2.42 Tỷ,", Quận Ngũ Hành Sơn",121 m²,,,Đất nền dự án,Mặt tiền: 5.5m,
169 Triệu,", Huyện Hòa Vang",430 m²,,,Đất nền dự án,Mặt tiền: 6m,
585 Triệu,", Huyện Hòa Vang",168 m²,,,Đất nền dự án,Mặt tiền: 6m,
2.55 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",90 m²,,,Đất nền dự án,,
2.83 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",70 m²,,,Đất nền dự án,,
3.95 Tỷ,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",100 m²,,,Đất nền dự án,,
5.9 Tỷ,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",150 m²,,,Đất nền dự án,,
3.25 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",108 m²,,,Đất nền dự án,,
3.25 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",108 m²,,,Đất nền dự án,,
5.9 Tỷ,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",150 m²,,,Đất nền dự án,,
5.3 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",216 m²,,,Đất nền dự án,,
1.86 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",100 m²,,Hướng: Đông bắc,Đất nền dự án,Mặt tiền: 5m,
2750 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",150 m²,,,Đất nền dự án,Mặt tiền: 7.5m,
410 Triệu,", Huyện Hòa Vang",169 m²,,,Đất nền dự án,Mặt tiền: 6m,
485 Triệu,", Huyện Hòa Vang",162 m²,,,Đất nền dự án,Mặt tiền: 6m,
490 Triệu,", Huyện Hòa Vang",179 m²,,,Đất nền dự án,Mặt tiền: 6m,
2.53 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",114 m²,,,Đất nền dự án,,
2.75 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",98 m²,,,Đất nền dự án,,
3.4 Tỷ,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",100 m²,,,Đất nền dự án,,
2.4 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",100 m²,,,Đất nền dự án,,
2.5 Tỷ,"Phường Hòa Quý, Quận Ngũ Hành Sơn",100 m²,,,Đất nền dự án,Mặt tiền: 5m,
2.15 Tỷ,"Phường Hòa Quý, Quận Ngũ Hành Sơn",109 m²,,Hướng: Bắc,Đất nền dự án,Mặt tiền: 5m,
3.3 Tỷ,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",109 m²,,,Đất nền dự án,Mặt tiền: 5m,
4.3 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",136 m²,,Hướng: Đông,Đất nền dự án,Mặt tiền: 7.5m,
2.25 Tỷ,", Quận Liên Chiểu",100 m²,,,Đất nền dự án,Mặt tiền: 7m,
2.7 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",150 m²,,,Đất nền dự án,,
2650 Tỷ,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",125 m²,,,Đất nền dự án,,
1.58 Tỷ,"Xã Hòa Châu, Huyện Hòa Vang",120 m²,,,Đất nền dự án,Mặt tiền: 5.37m,
4.19 Tỷ,"Phường Phước Mỹ, Quận Sơn Trà",90 m²,,,Đất nền dự án,Mặt tiền: 4.1m,
4.19 Tỷ,"Phường Phước Mỹ, Quận Sơn Trà",90 m²,,Hướng: Đông,Đất nền dự án,,
400 Triệu,", Huyện Hòa Vang",170 m²,,,Đất nền dự án,Mặt tiền: 6m,
11 Tỷ,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",246 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 8m,
1.99 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",125 m²,,Hướng: Đông bắc,Đất nền dự án,,
3.05 Tỷ,"Xã Hòa Phước, Huyện Hòa Vang",100 m²,,,Đất nền dự án,,
1.75 Tỷ,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",107.5 m²,,,Đất nền dự án,,
2.45 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",100 m²,,Hướng: Đông bắc,Đất nền dự án,Mặt tiền: 5m,
Thỏa thuận,", Quận Ngũ Hành Sơn",100 m²,,,Đất nền dự án,Mặt tiền: 5m,
2.45 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",118 m²,,,Đất nền dự án,Mặt tiền: 6m,
2.49 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",118 m²,,,Đất nền dự án,,
2.35 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",100 m²,,Hướng: Đông nam,Đất nền dự án,,
14 Tỷ,"Phường Thọ Quang, Quận Sơn Trà",210 m²,,Hướng: Đông nam,Đất nền dự án,,
3.15 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",144 m²,,,Đất nền dự án,,
3.9 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",180 m²,,,Đất nền dự án,,
3.1 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",123 m²,,,Đất nền dự án,,
2 Tỷ,", Quận Liên Chiểu",100 m²,,,Đất nền dự án,,
1.92 Tỷ,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",85 m²,,,Đất nền dự án,,
Thỏa thuận,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",125 m²,,,Đất nền dự án,Mặt tiền: 5m,
11 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",240 m²,,,Đất nền dự án,,
3.8 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",106 m²,,,Đất nền dự án,,
2.8 Tỷ,"Phường Hòa Quý, Quận Ngũ Hành Sơn",105 m²,,,Đất nền dự án,,
4 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",142 m²,,,Đất nền dự án,,
4.2 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",142 m²,,,Đất nền dự án,,
430 Triệu,"Phường Hòa Hải, Quận Ngũ Hành Sơn",110 m²,,,Đất nền dự án,,
2.7 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",100 m²,,,Đất nền dự án,,
4 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",180 m²,,,Đất nền dự án,,
2.6 Tỷ,"Phường Hòa Quý, Quận Ngũ Hành Sơn",100 m²,,,Đất nền dự án,,
3.95 Tỷ,"Phường Hòa An, Quận Cẩm Lệ",121 m²,,,Đất nền dự án,,
600 Triệu,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",100 m²,,,Đất nền dự án,,
4.05 Tỷ,"Phường Hòa Xuân, Quận Cẩm Lệ",100 m²,,,Đất nền dự án,,
1.5 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",69 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 7m,
2.15 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",134 m²,,Hướng: Đông,Đất nền dự án,Mặt tiền: 5.5m,
3.35 Tỷ,"Phường Hòa Xuân, Quận Cẩm Lệ",100 m²,,,Đất nền dự án,,
18 Tỷ,"Phường Mỹ An, Quận Ngũ Hành Sơn",140 m²,,,Đất nền dự án,,
8.5 Tỷ,"Phường An Hải Bắc, Quận Sơn Trà",120 m²,,Hướng: Tây bắc,Đất nền dự án,Mặt tiền: 5m,
8.2 Tỷ,"Phường Hòa Xuân, Quận Cẩm Lệ",160 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 25m,
4.6 Tỷ,"Phường An Khê, Quận Thanh Khê",90 m²,,Hướng: Đông bắc,Đất nền dự án,Mặt tiền: 5m,
3050 Tỷ,"Phường Hòa Quý, Quận Ngũ Hành Sơn",100 m²,,,Đất nền dự án,Mặt tiền: 5m,
7.2 Tỷ,"Phường Hòa Xuân, Quận Cẩm Lệ",167 m²,,,Đất nền dự án,,
5 Tỷ,"Phường Hòa Hải, Quận Ngũ Hành Sơn",143 m²,,Hướng: Đông nam,Đất nền dự án,Mặt tiền: 7.5m,
